Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Villa Fresh Italian Kitchen,455 S Bibb Ave,EAGLE PASS,TX,78852-5077,8307738866.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@30.7526214,-101.0850129,7z/data=!3m1!5s0x865f8db4b2e70919:0x7edf0a3accedddb5!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+455+S+Bibb+Ave+EAGLE+PASS+TX+78852-5077!3m4!1s0x865f8c4abc60bd8b:0x808468810e08bdd9!8m2!3d28.7041126!4d-100.4841605?hl=en",
Villa Fresh Italian Kitchen,3939 S Interstate 35,SAN MARCOS,TX,78666-5951,5123922279.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@29.8310969,-97.982599,17z/data=!3m1!5s0x865ca60ca75ffa49:0xe8c76fea5a7ff350!4m5!3m4!1s0x865ca673ddb43893:0x81bbb973a39313f7!8m2!3d29.8310923!4d-97.9804103?hl=en",
Villa Fresh Italian Kitchen,2000 Riverchase Galleria,HOOVER,AL,35244,2052905516.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@33.3790316,-86.8083523,17z/data=!3m1!4b1!4m5!3m4!1s0x88892216e712679d:0x5020d873ea229ad7!8m2!3d33.3790316!4d-86.8083523",
Villa Fresh Italian Kitchen,2701 Bergen Town Ctr,PARAMUS,NJ,07652-5019,2018434453.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@40.9153665,-74.0595505,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2fa686d75b797:0x53ea1e162226a83d!8m2!3d40.9153665!4d-74.0595505",
Villa Fresh Italian Kitchen,107 Fuel Farm Rd,BALTIMORE,MD,21240,4108504846.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@39.276517,-76.7091245,11z/data=!3m1!5s0x89b7e2e642e1695f:0x1e54ca829e1cc425!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+BALTIMORE+MD!3m4!1s0x89b7e2f195b5c76f:0x3e2103b8526c33e8!8m2!3d39.1776054!4d-76.6701746?hl=en",
Villa Fresh Italian Kitchen,4211 Camino De La Plz,SAN DIEGO,CA,92173-3049,6196622111.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@32.5438151,-117.0433296,17z/data=!3m1!4b1!4m5!3m4!1s0x80d9491ab707fecd:0xb3ff2eabbf79298f!8m2!3d32.5438151!4d-117.0433296",
Villa Fresh Italian Kitchen,2901 S Capital of Texas Hwy,AUSTIN,TX,78746-8101,5123289927.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@30.2573622,-97.8072249,17z/data=!3m1!4b1!4m5!3m4!1s0x865b4ae6e73f67c7:0xfd660f6e6d878c01!8m2!3d30.2573622!4d-97.8072249",
Villa Fresh Italian Kitchen,1 Bellis Fair Pkwy,BELLINGHAM,WA,98226-5590,3607340502.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@48.7854749,-122.4892018,17z/data=!3m1!4b1!4m5!3m4!1s0x5485a35dc0caa731:0x9ff6faacfcdb8c4e!8m2!3d48.7854749!4d-122.4892018",
Villa Fresh Italian Kitchen,4949 North Rancho Dr,LAS VEGAS,NV,89130,7023968517.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@36.2500647,-115.2444912,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8eafdfaab85ef:0x159ed9717704e4e1!8m2!3d36.2500647!4d-115.2444912",
Villa Fresh Italian Kitchen,26300 Cedar Rd,BEACHWOOD,OH,44122-1196,2165911009.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@44.8548929,-93.2421124,17z/data=!3m1!4b1!4m5!3m4!1s0x87f62f6cc03a4105:0xf51c1cc9a2d8750f!8m2!3d44.8548929!4d-93.2421124",
Villa Fresh Italian Kitchen,3237 Dillon Dr,PUEBLO,CO,81008-1005,7195440999.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@38.3031517,-104.6066446,17z/data=!3m1!4b1!4m5!3m4!1s0x8713a3cbe30568bf:0x124f3ac5e0347b91!8m2!3d38.3031517!4d-104.6066446",
Villa Fresh Italian Kitchen,10000 Factory Shop Blvd,GULFPORT,MS,39503-4264,2288716020.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@30.429546,-89.100304,17z/data=!3m1!4b1!4m5!3m4!1s0x889c3dfc4a137df3:0x648e3d41fd66150b!8m2!3d30.429546!4d-89.100304",
Villa Fresh Italian Kitchen,2200 Tanger Blvd,WASHINGTON,PA,15301-7907,7242293343.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@37.3252241,-121.8144788,17z/data=!3m1!4b1!4m5!3m4!1s0x808e32a1bbafe5d5:0x4d6ac2e4958ba8a1!8m2!3d37.3252241!4d-121.8144788",
Villa Fresh Italian Kitchen,11211 120th Ave,PLEASANT PRAIRIE,WI,53158-1703,2628573165.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@42.5163748,-87.9485361,17z/data=!3m1!4b1!4m5!3m4!1s0x880f89eb8eba884d:0x596d69dbc229d510!8m2!3d42.5163748!4d-87.9485361",
Villa Fresh Italian Kitchen,3000 184th St SW,LYNNWOOD,WA,98037-4723,4256731999.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@47.8287261,-122.2748163,17z/data=!3m1!4b1!4m5!3m4!1s0x549005735816f72b:0xa6cdbc80d6fef43d!8m2!3d47.8287261!4d-122.2748163",
Villa Fresh Italian Kitchen,4401 N Interstate 35,ROUND ROCK,TX,78664-2685,5128647174.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@30.5649902,-97.6925701,17z/data=!3m1!5s0x8644d150794a4425:0x7edf0a3ab044a7e5!4m5!3m4!1s0x8644d18491bbefd9:0x7ddedeef8a2a6c33!8m2!3d30.5649856!4d-97.6903814?hl=en",
Villa Fresh Italian Kitchen,2300 N Salisbury Blvd,SALISBURY,MD,21801-7869,4105489841.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@38.396965,-75.5663311,17z/data=!3m1!4b1!4m5!3m4!1s0x89b902f162c22f4b:0x4f5576631b3bf0db!8m2!3d38.396965!4d-75.5663311",
Villa Fresh Italian Kitchen,10300 Little Patuxent Pkwy,COLUMBIA,MD,21044-3341,4109970614.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@39.2166769,-76.8629974,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7df978b035ff7:0x2436233d1ea3758d!8m2!3d39.2166769!4d-76.8629974",
Villa Fresh Italian Kitchen,4200 Genesee St,CHEEKTOWAGA,NY,14225-1941,7166330382.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@42.9345467,-78.7336889,17z/data=!3m1!5s0x89d374b0dbee0943:0xc74ce2d095f951a5!4m5!3m4!1s0x89d374b122fe4919:0x21f1c6ffed680e7!8m2!3d42.9345428!4d-78.7315002?hl=en",
Villa Fresh Italian Kitchen,611 Great Mall Dr,MILPITAS,CA,95035-8030,4089468382.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@37.4158564,-121.8963959,17z/data=!3m1!4b1!4m5!3m4!1s0x808fceca26922395:0x11f9e4a84669296a!8m2!3d37.4158564!4d-121.8963959",
Villa Fresh Italian Kitchen,2760 N Germantown Pkwy,MEMPHIS,TN,38133-8156,9013729485.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@35.2007605,-89.7932638,17z/data=!3m1!4b1!4m5!3m4!1s0x887f9dedb2773423:0xbe7123fd463c9af4!8m2!3d35.2007605!4d-89.7932638",
Villa Fresh Italian Kitchen,1902 Green Oaks Rd,FORT WORTH,TX,76116-1703,8177318882.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@32.740835,-97.436572,17z/data=!3m1!4b1!4m5!3m4!1s0x864e73337e677c85:0xb53a9e0c91e4b962!8m2!3d32.740835!4d-97.436572",
Villa Fresh Italian Kitchen,4500 N Oracle Rd,TUCSON,AZ,85705-1662,5208880388.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@32.2893102,-110.9741936,17z/data=!3m1!4b1!4m5!3m4!1s0x86d673bfe638a829:0x5926370bf81fff63!8m2!3d32.2893102!4d-110.9741936",
Villa Fresh Italian Kitchen,755 S Grand Central Pkwy,LAS VEGAS,NV,89106-4503,7023660101.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@36.1637898,-115.1599632,17z/data=!3m1!5s0x80c8c396f16b5bed:0x7edf0a3a4035a4dc!4m5!3m4!1s0x80c8c397a9ab2ec3:0x5bdf9fde99cab552!8m2!3d36.1637855!4d-115.1577745?hl=en",
Villa Fresh Italian Kitchen,94 Serramonte Ctr,DALY CITY,CA,94015-2345,6509928806.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@37.6718901,-122.4717574,17z/data=!3m1!4b1!4m5!3m4!1s0x808f7b8d3e537bc5:0x7addc5f5bd5fa719!8m2!3d37.6718901!4d-122.4717574",
Villa Fresh Italian Kitchen,7029 Aldridge Rd,VICTOR,NY,14564-9164,5859243636.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@42.9990177,-77.4154827,17z/data=!4m5!3m4!1s0x89d131a2aec43df5:0xc0dd7648042f1ba9!8m2!3d42.9990138!4d-77.413294?hl=en",
Villa Fresh Italian Kitchen,750 Sunland Park Dr,EL PASO,TX,79912-6830,9155814692.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@31.814047,-106.5436791,17z/data=!3m1!4b1!4m5!3m4!1s0x86ddf805132124d5:0x7e462da86f86de45!8m2!3d31.814047!4d-106.5436791",
Villa Fresh Italian Kitchen,655 State Route 318,WATERLOO,NY,13165-5568,3155399800.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@42.955376,-76.9185519,17z/data=!3m1!4b1!4m5!3m4!1s0x89d0ceacd47f4a21:0xffa66190f67d020d!8m2!3d42.955376!4d-76.9185519",
Villa Fresh Italian Kitchen,2000 N Neil St,CHAMPAIGN,IL,61820-7808,2174192987.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@40.1420974,-88.2441736,17z/data=!3m1!4b1!4m5!3m4!1s0x880cd9f82858e6db:0xde114d2a2af76d49!8m2!3d40.1420974!4d-88.2441736",
Villa Fresh Italian Kitchen,1201 12th St SE,ROCHESTER,MN,55904,5072823086.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@44.0041944,-92.4818695,17z/data=!3m1!5s0x87f75f47960d921d:0x7edf0a3a450d989c!4m5!3m4!1s0x87f75f38774c21a3:0x6c6a03b033c51e0b!8m2!3d44.0041906!4d-92.4796808?hl=en",
Villa Fresh Italian Kitchen,18511 Outlet Blvd,CHESTERFIELD,MO,63005,6367671426.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@38.6771165,-90.6611987,17z/data=!3m1!4b1!4m5!3m4!1s0x87ded49389c3b0c5:0x6d265019a992a29e!8m2!3d38.6771165!4d-90.6611987",
Villa Fresh Italian Kitchen,8200 Perry Hall Blvd,BALTIMORE,MD,21236-4901,4109317101.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@39.3750648,-76.4679078,17z/data=!3m1!4b1!4m5!3m4!1s0x89c8083d2c4e6587:0xdcf2040d94f0d754!8m2!3d39.3750648!4d-76.4679078",
Villa Fresh Italian Kitchen,2655 Richmond Ave,STATEN ISLAND,NY,10314-5821,7186980580.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@40.6693842,-74.2182573,11z/data=!3m1!5s0x89c24b80b4892eab:0x7edf0a3a89896480!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+2655+Richmond+Ave+STATEN+ISLAND+NY+10314-5821!3m4!1s0x89c24b80c7edac85:0xa5ad8f0dec8d3fa0!8m2!3d40.5816603!4d-74.1659117?hl=en",
Villa Fresh Italian Kitchen,3250 Gateway Blvd,PRESCOTT,AZ,86303,9284433298.0,"https://www.google.com/maps/place/Villa+Pizza/@33.9237356,-112.7143965,9z/data=!3m1!5s0x872d2615ab6785db:0xf16df7f7e87927ab!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+3250+Gateway+Blvd+PRESCOTT+AZ+86303!3m4!1s0x872d2614f9d2cead:0x96a082921347ad26!8m2!3d34.5469582!4d-112.4091439?hl=en",
Villa Fresh Italian Kitchen,7850 Mentor Ave,MENTOR,OH,44060-5586,4402050577.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@41.6575365,-81.360753,17z/data=!3m1!4b1!4m5!3m4!1s0x8831a8bf67c234bf:0xf74d2fa92530b3dd!8m2!3d41.6575365!4d-81.360753",
Villa Fresh Italian Kitchen,1451 Coral Ridge Ave,CORALVILLE,IA,52241-2800,3196256020.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@41.6909216,-91.6000802,17z/data=!3m1!4b1!4m5!3m4!1s0x87e4446d7f284ddb:0xfcc533b03049231d!8m2!3d41.6909216!4d-91.6000802",
Villa Fresh Italian Kitchen,100 Columbiana Cir,COLUMBIA,SC,29212-2231,8037812211.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@34.0789043,-81.1570286,17z/data=!3m1!4b1!4m5!3m4!1s0x88f8a27348d0f731:0xa049ee706307b9f6!8m2!3d34.0789043!4d-81.1570286",
Villa Fresh Italian Kitchen,1151 Galleria Blvd,ROSEVILLE,CA,95678-1946,9167838008.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@38.773874,-121.270732,17z/data=!3m1!4b1!4m5!3m4!1s0x809b21d0c0d0dc07:0x3c9106bc9571da29!8m2!3d38.773874!4d-121.270732",
Villa Fresh Italian Kitchen,9409 US Highway 19,PORT RICHEY,FL,34668-4643,7278150716.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@27.954305,-83.8300405,7z/data=!3m1!5s0x88c29a9feeae8585:0xfe6faaec027c4ceb!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+9409+US+Highway+19+PORT+RICHEY+FL+34668-4643!3m4!1s0x88c29a9ff3fff775:0xb735d9aa2b7a1d5!8m2!3d28.2931229!4d-82.7127957?hl=en",
Villa Fresh Italian Kitchen,588 W Prien Lake Rd,LAKE CHARLES,LA,70601-8488,3374741958.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@30.200128,-93.227457,17z/data=!3m1!4b1!4m5!3m4!1s0x863b866563b65fd3:0x43663425ae03a0d0!8m2!3d30.200128!4d-93.227457",
Villa Fresh Italian Kitchen,40820 Winchester Rd,TEMECULA,CA,92591-5525,9512251210.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@33.5259276,-117.1534872,17z/data=!3m1!4b1!4m5!3m4!1s0x80db7e3dec73fea5:0x5afb5f0e18d2f8d5!8m2!3d33.5259276!4d-117.1534872",
Villa Fresh Italian Kitchen,1 Borgata Way,ATLANTIC CITY,NJ,08401-1946,6093178207.0,"https://www.google.com/maps/place/Villa+Pizza/@40.1313877,-75.7943072,8z/data=!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+ATLANTIC+CITY+NJ!3m4!1s0x89c0efb350d38419:0x46c93c9c8f760656!8m2!3d39.3783892!4d-74.4353557?hl=en",
Villa Fresh Italian Kitchen,1101 Supermall Way SW,AUBURN,WA,98001-6529,2538339753.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@47.299623,-122.245047,17z/data=!3m1!4b1!4m5!3m4!1s0x5490580f5c9b6b8f:0xb864d7c4fa8f94b!8m2!3d47.299623!4d-122.245047",
Villa Fresh Italian Kitchen,4300 Meadows Ln,LAS VEGAS,NV,89107-3008,7022595031.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@36.1723009,-115.1957461,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8c17b91906e37:0x5a4795be8eb467a8!8m2!3d36.1723009!4d-115.1957461",
Villa Fresh Italian Kitchen,4001 W 41st St,SIOUX FALLS,SD,57106-0702,6053625989.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@43.5115864,-96.7768589,17z/data=!3m1!4b1!4m5!3m4!1s0x878eca209382e825:0xd92233cfe88d51be!8m2!3d43.5115864!4d-96.7768589",
Villa Fresh Italian Kitchen,7400 Las Vegas Blvd,LAS VEGAS,NV,89130,7023968517.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@36.0524447,-115.1685108,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8cf5cc2ab1297:0x15ef47ce0f9b85eb!8m2!3d36.0524447!4d-115.1685108",
Villa Fresh Italian Kitchen,8319 Indian Falls Rd,CORFU,NY,14036-9645,5853340475.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@43.0117513,-78.3290112,17z/data=!3m1!4b1!4m5!3m4!1s0x89d392f0724a64d7:0xf0926d19e960cc21!8m2!3d43.0117513!4d-78.3290112",
Villa Fresh Italian Kitchen,8000 W Broward Blvd,PLANTATION,FL,33388-0005,9544723206.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@26.1171766,-80.2550889,17z/data=!3m1!4b1!4m5!3m4!1s0x88d907c0a35c566f:0x639ca18329f29f16!8m2!3d26.1171766!4d-80.2550889",
Villa Fresh Italian Kitchen,11200 Lakeline Mall Dr,CEDAR PARK,TX,78613-1508,5122199928.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@30.4707891,-97.8068822,17z/data=!3m1!4b1!4m5!3m4!1s0x865b32a2772c52b9:0xc09c85507150103c!8m2!3d30.4707891!4d-97.8068822",
Villa Fresh Italian Kitchen,11500 Midlothian Tpke,NORTH CHESTERFIELD,VA,23235-4780,8048972333.0,"https://www.google.com/maps/place/Villa/@38.1856964,-77.8952103,9z/data=!3m1!5s0x89b16d9dc02599a5:0xf16df7f7a244cabb!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+11500+Midlothian+Tpke+NORTH+CHESTERFIELD+VA+23235-4780!3m4!1s0x89b16d9de971fab7:0xbe8fd5f951bb9ef4!8m2!3d37.5084846!4d-77.6089507?hl=en",
Villa Fresh Italian Kitchen,142 Park City Ctr,LANCASTER,PA,17601-2706,7173932003.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@40.0672424,-76.3391662,17z/data=!3m1!4b1!4m5!3m4!1s0x89c623f534de6ec3:0xd4c41b00bdfbf234!8m2!3d40.0672424!4d-76.3391662",
Villa Fresh Italian Kitchen,1 W Flatiron Crossing Dr,BROOMFIELD,CO,80021-8881,3034101290.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@39.9330327,-105.1333427,17z/data=!3m1!4b1!4m5!3m4!1s0x876b8c9ad0a298bd:0x9abf2c53ed03d696!8m2!3d39.9330327!4d-105.1333427",
